,sub_chapter,summarization
55,5.6,"Chapter 5.6: Thus, is a representation of the sequence as a linear combination of scaled, shifted impulses. With this modification we obtain solid blue]{ Convolution Sum Formula} }  y[n] = x[ h[n- } This expression represents the convolution operation in the most general sense, so we have proved that all LTI systems can be represented by a convolution sum. By making the substitution in, show that can also be expressed in the same form as, Some Properties of LTI Systems The properties of convolution are the properties of LTI systems. Thus, it is of interest to explore these properties and relate them to properties of LTI systems. This proves that convolution is an associative operation."
56,5.7,"Chapter 5.7: A cascade of two LTI systems. Therefore, the overall impulse response of Fig.~※ is. Since convolution is commutative, the two cascade systems have the same impulse response which is also the impulse response of the equivalent system. Again, since the overall impulse response is the same for each of the three systems in Figs.~※ and ※, the output is the same for all three systems for the same input."
57,5.8,"Chapter 5.8: The smoother curve in Fig.~※ is the output of a 51-point causal running averager; i.e., where is the impulse response of the causal 51-point running averager. It would be better use the noncausal centralized running averager where is the impulse response of the centralized running averager. Determine the impulse response of the 51-point causal running averager and determine the impulse response for the 51-point centralized running averager. The cascade representation of the centralized running averager is depicted in Fig.~※."
58,5.9,"Chapter 5.9: Among the laboratory projects on the CD-ROM, there is one (Lab~#7) that deals with discrete convolution and the effects of sampling. Lab~#7 also requires the use of two MATLAB GUIs, one for sampling, CON2DIS, the other for discrete convolution, DCONVDEMO. Demo: CON2DIS: Sampling and Aliasing Demo: DCONVDEMO: Convolution The CD-ROM also contains three demonstrations of FIR filtering; the DCONVDEMO GUI, and also individual demonstrations of the properties of linearity and time invariance illustrated by using simple FIR filters to process shifted and scaled sinusoids. Note: Hundreds of Solved Problems"
59,6.0,"Chapter 6.0:  CHAPTER 6 Frequency Response of FIR Filters Chapter ※ introduced the class of FIR discrete-time systems. We also showed that the impulse response of an FIR system completely defines the system. In this chapter, we introduce the concept of the frequency response of a linear time-invariant FIR filter and show that the frequency response and impulse response are uniquely related. Since almost any discrete-time signal can be represented by a superposition of sinusoids, the frequency response is sufficient therefore to represent the system for almost any signal."
60,6.1,"Chapter 6.1: In other words, describes the response of the LTI system to a complex exponential signal of any frequency. (Generally, we shorten this to frequency response.) The frequency response multiplies the signal, thereby changing the complex amplitude. The effect of the LTI system on the magnitude and phase of the input complex exponential signal is determined completely by the frequency response function."
61,6.2,"Chapter 6.2:  Superposition and the Frequency Response The principle of superposition makes it very easy to find the output of a linear time-invariant system if the input is a sum of complex exponential signals. Because the components of the input signal are all complex exponential signals, it is easy to find their respective outputs if we know the frequency response of the system; we just multiply each component by evaluated at the corresponding frequency, i.e., Note that we have used the fact that a constant signal is a complex exponential with. EXAMPLE:  Cosine Input For the FIR filter with coefficients, find the output when the input is The frequency response of the system was determined in Example ※ to be  Note that ; i.e., has conjugate symmetry. That is, each individual complex exponential component is modified by the frequency response evaluated at the frequency of that component. EXAMPLE:  Three Sinusoidal Inputs For the FIR filter with coefficients, find the output when the input is The frequency response of the system was determined in Example ※, and is the same as the frequency response in Example~※. Because the frequency-response magnitude (gain) is so small at frequency, the component at this frequency is essentially filtered out of the input signal."
62,6.3,"Chapter 6.3: This region is often called the transient part of the output. That is, This part of the output is generally called the steady-state part. The input and output signals for this example are shown in Fig.~※. (a) Input and (b) corresponding output for FIR filter with coefficients."
63,6.4,Chapter 6.4:  Properties of the Frequency Response The frequency response function is a complex-valued function of the normalized frequency variable. Relation to Impulse Response and Difference Equation can be calculated directly from the filter coefficients. It is also simple to go from the frequency response to the difference equation or to the impulse response if we express in terms of powers of. Prove that the magnitude is an even function of and the phase is an odd function of for a conjugate-symmetric frequency response.
64,6.5,"Chapter 6.5: Phase response of pure delay system,. Magnitude (a) and phase (b) of system with frequency response. Fig.~※ shows the frequency response of this system, which is a lowpass filter. Input and output of system with frequency response."
65,6.6,Chapter 6.6: Frequency response of three equivalent cascaded LTI systems. All three systems have the same frequency response so that for the same input. Suppose that two systems are cascaded. Determine the frequency response and the impulse response of the overall cascade system.
66,6.7,Chapter 6.7: (a) Amplitude and (b) phase functions for frequency response of 11-point running-average filter. It is generally easiest to plot the principal value of the phase function. Input and output of 11-point running averager. Input and output of 11-point running averager. (a)~“Homework plus cosine” image.
67,6.8,"Chapter 6.8: System for doing discrete-time filtering of continuous-time signals. The frequency response of the discrete-time system gives us a quick way to calculate the output in Fig~※. As long as there is no aliasing, the frequency band of the input signal matches the frequency band of the output. The frequency response of this discrete-time system is The magnitude of this frequency response is shown in the top part of Fig.~※. The frequency-response question is easy. If the input to the system is, the corresponding output is."
68,6.9,"Chapter 6.9:  Summary and Links This chapter introduced the concept of the frequency response for the class of FIR filters. The frequency response applies to any linear time-invariant system, as we will see in upcoming chapters. Lab #8 is an experiment with the frequency response of FIR filters. Lab: #8 Frequency Response Two other labs involving FIR filtering are listed under Chapter 7 on the CD-ROM."
69,7.1,"Chapter 7.1: This spectrum plot is a frequency-domain representation that tells us at a glance “how much of each frequency is present in the signal.” In Chapter ※ we extended the spectrum concept from continuous-time signals to discrete-time signals obtained by sampling. In the discrete-time case, the line spectrum is plotted as a function of normalized frequency. In Chapter ※ we developed the frequency response which is the frequency-domain representation of an FIR filter. In this chapter, we take the next step by developing the discrete-Time Fourier transform."
70,7.2,"Chapter 7.2: EXAMPLE:  DTFT of an FIR Filter The following FIR filter has a finite-length impulse response signal: Each impulse in is transformed using, and then combined according to the linearity property of the DTFT which gives Uniqueness of the DTFT The DTFT is a unique relationship between and ; in other words, two different signals cannot have the same DTFT. EXAMPLE:  DTFT of Complex Exponential? The result of the inverse DTFT is the discrete-time signal where. Riemann sum approximation to the integral of the inverse DTFT. Here, which is the DTFT of."
71,7.3,"Chapter 7.3: We need to compare the DTFT of vis-a-vis the DTFT of. The Frequency-Shift Property Consider a sequence where the DTFT of is. DTFT of a Real Cosine Signal A sinusoid is composed of two complex exponentials, so the frequency shifting property would be applied twice to obtain the DTFT. DTFT of a length-20 sinusoid with amplitude, and frequency. Therefore, the DTFT is called the magnitude-squared spectrum or the energy spectrum of."
72,7.4,"Chapter 7.4: Frequency response of an ideal LPF with its cutoff at,rad/s. Figure~※ shows a plot of for the ideal LPF. Figure~※ shows the frequency response of an 11-point moving average filter. EXAMPLE:  Ideal Lowpass Filtering Consider an ideal lowpass filter with frequency response given by and impulse response in. Figure~※ shows an ideal HPF with its cutoff frequency at rad/s. Frequency response of an ideal HPF with cutoff at rad/s. That is, the ideal bandpass filter has frequency response Figure~※ shows an ideal BPF with its cutoff frequencies at and. Frequency response of an ideal BPF with its passband from to rad/s."
73,7.5,"Chapter 7.5: We usually say that the practical FIR filter has an impulse response that is a windowed version of the ideal impulse response. Frequency Response of Practical Filters A causal length- Practical Filter is useful if its frequency response closely approximates the desired frequency response of an ideal filter. Frequency response magnitudes for (a) Length-25 LPF with rectangular window, i.e., truncated sinc. For the two LPFs shown in Fig.~※, we can make an {accurate measurement} of and from the zoomed plots in Fig.~※. For the rectangular window case, a careful measurement gives a passband ripple size of, with the passband edge at. For the Hamming window case, we need the zoomed plot of the passband region to see the ripples, as in Fig.~※(b). Stopband Defined for the Frequency Response When the frequency response (magnitude) of the digital filter is close to zero, we have the stopband region of the filter. For the two lowpass filters in Fig.~※ the measured transition widths are  EXAMPLE:  Decrease Transition Width One property of the transition width is that it can be controlled by changing the filter order. For the Hamming window case, the measured transition width for is, and for,."
74,7.6,"Chapter 7.6:  Table of Fourier Transform Properties and Pairs In this chapter, we have derived a number of useful transform pairs, and we have also derived several important properties of Fourier transforms. Table~※ includes the Fourier transform pairs that we have derived in this chapter as well as one transform pairs (the left-sided exponential) that we did not derive. Basic discrete-time Fourier transform pairs. Table of DTFT Pairs Time-Domain: Frequency-Domain: 1 The basic properties of the Fourier transform are what make it convenient to use in designing and analyzing systems, so they are given in Table~※ on p.~ for easy reference. Basic discrete-time Fourier transform properties. Table of DTFT Properties Property Name Time-Domain: Frequency-Domain: Periodic in Linearity Conjugate Symmetry is real Conjugation Time-Reversal Delay Frequency Shift Modulation Convolution Autocorrelation Parsevals Theorem"
75,7.7,"Chapter 7.7:  Summary and Links  In this chapter we introduced the discrete-time Fourier transform (DTFT), and developed some of its basic properties for understanding the behavior of linear systems. The DTFT provides a frequency-domain representation for signals as well as systems, and like other Fourier transforms it generalizes the idea of a spectrum for a discrete-time signal. We obtained the DTFT by generalizing the concept of the frequency response, and showed how the inverse transform could be used to obtain the impulse response of various ideal filters. Also it is not surprising that the DTFT plays an important role in filter design for methods based on rectangular and Hamming windowing."
76,8.1,"Chapter 8.1: If a recursive structure is adopted, the two DFTs can be decomposed into four -point DFTs, and those into eight -point DFTs, etc. For two-point DFTs, the computation is trivial: The two outputs of the two-point DFT are the sum and the difference of the inputs. The last stage of computation would require two-point DFTs. Thus, we have where is the number of complex multiplications for a length- DFT, and is the number of complex  Number of operations for radix-2 FFT when is a power of two."
